Title,Domain,Year,Organization,Keywords,TRL
AI AI mechanism,AI,2025,KIM TAE WOO,"반도체 제조시 사용하는 케미컬 및 가스가 적정환경을 등을 유지하고 있는지 관리하는 것은 반도체 제조 시 필수 사항이다. 관리가 제대로 안되면 반도체제조에 악영향을 끼칠 수밖에 없다. 그러나 종래 반도체 제조라인에서는 이러한 케미컬 및 가스에 대한 여러 가지 관리가 시스템적으로 이루어지지 않고, 수작업으로 체크하는 문제가 있었다. 따라서 AI도입하여 영상및 여러 센서들의 이상유무를 조합하고 긴급상황에 대처할 수있는 기능을 탑재하여 작업자의 안전과 장비사용의 효율성을 극대화 한다.",4
AI TO AI COMMUNICATION,AI,2021,VISA INT SERVICE ASS,"A method includes collecting, by a first AI application of a first AI computer, data to include in a dataset. The first AI application of the first AI computer can include an offer for the dataset into an offering platform. The first AI application of the first AI computer can then receive a response to the offer from a second AI application of a second AI computer. The first AI application of the first AI computer can determine whether or not to provide the dataset to the second AI application of the second AI computer. The first AI application of the first AI computer can, based on the determination, provide the dataset to the second AI application of the second AI computer.",1
AI AI system,AI,2021,"CHOI JAE HYEOK,,GIM TAE",The present invention relates to an AI system which is to allow a user to carry out a PT program personally at home without having to go to a gym and to restrict unnecessary physical contacts in a PT program that is carried out at a gym. The AI system of the present invention comprises: a digital screen formed to provide a screen to a user; a biometric recognition camera provided in the upper center of the digital screen to check a user's usage status and movement; a microphone provided on an upper left side of the digital screen so that the user can give an instruction by voice; a speaker provided on an upper right side of the digital screen to explain the system by voice to the user; a power weight provided inside the digital screen so that a power source for operation is provided; a display provided inside the digital screen so that a PT program is loaded and provided to the user; and a smartphone provided to allow the user to use the system at any time through the digital screen and wireless communication.,8
AI AI GLASS,AI,2021,GIM TAE,"The present invention relates to AI glasses comprising: a glasses body formed so that a user can wear the same by hand; temples protruding from both sides of the glasses body; glasses lenses between the temples; a speaker on the temple; a button on the temple; a display on the glasses lens; and a communication unit on the temple. Therefore, the user can use, with single glasses, the above components without having a portable electronic device. In addition, the AI glasses comprises: the glasses body formed so that the user can wear the same by hand; the temples protruding from both the sides of the glasses body; the glasses lenses between the temples; the speaker on the temple; the button on the temple; the display on the glasses lens; and the communication unit on the temple. Therefore, the user can identify, with the single glasses, a score without having a portable electronic device.",3
AI AI closet,AI,2022,CHOI JAE ROK,"The present invention relates to an AI closet, wherein the AI closet is opened easily by using a closet door like a conventional closet door, storage is made systematic by a storage space, and which clothes are in which storage space is reported by a display attached to a closet door, thereby solving the problem that it is difficult to find clothes when there are many clothes. The closet according to the present invention comprises: a closet door made like a conventional sliding closet door to be opened easily, and having subminiature optical cameras attached to an inner side and an upper side; a storage space minutely configured to make storage systematic and having a small electric lamp attached thereto; a hanger formed to be identical to a conventional clothes hanger to hang a clothes hanger easily; a hanger formed to be identical to a conventional clothes hanger to hang clothes easily; and a display attached to a closet door and configured so that which clothes are in which storage space can be reported through the display without opening the closet as the display is attached to one door like a smart refrigerator. Therefore, the AI closet of the present invention is opened easily using a closet door like a conventional closet door, has storage made systematic by a storage space, and reports which clothes are in which storage space using a display attached to a closet door, thereby solving the problem that it is difficult to find clothes when there are many clothes.",3
GENERATIVE AI FOR EXPLAINABLE AI,AI,2025,MICROSOFT TECHNOLOGY LICENSING LLC,"A computer-implemented method comprising: receiving an explanation request comprising a feature and a machine learning (ML) prediction corresponding to the feature; obtaining context information based on the request; generating, using a first generative ML model instance applied to the feature and the ML prediction, at least two response variations; determining, using a second generative ML model instance applied to the context information and the at least two response variations, a ranking of the at least two response variations according to relevance; determining an explanation of the prediction based on the ranking of the at least two response variations; and performing a physical and/or logical operation based on the explanation.",3
AI AI AI learning device and method of providing AI learning plan,AI,2024,DEEP LEARNING EDUCATION INC,"본 발명의 바람직한 일 실시예로서, AI학습장치는 학습어플리케이션을 이용한 학생의 학습정보를 분석하는 학습정보분석부; 상기 학습어플리케이션을 이용한 기설정된 기간동안 상기 학습어플리케이션에서 제공하는 컨텐츠에해당하는 학습 문항에 대한 상기 학생의 답변을 기초로 상기 학생의 이해력을 판단하는 이해력판단부; 및 상기학습정보와 상기 이해력을 기초로 상기 기설정된 기간 이후의 상기 학생의 학습계획을 수정하는 학습계획수정부;를 포함하는 것을 특징으로 한다.",7
ai ai refrigerator with a display,AI,2020,LEE JIN HYUK,"An AI refrigerator with a display panel can increase a product preference of users. To this end, the AI refrigerator with the display panel displays AI on the display touch panel displayed on the refrigerator to display the quantity and expiration date of items in the refrigerator.",7
AI- AI-Medicare Scheduler,AI,2024,YU JI WON,"An AI-medicare scheduler is an artificial intelligence (AI)-based medical reservation and management system. The system analyzes the patient's preferences, medical staff's timetable, and need for care, suggesting an optimal booking time. In addition, it has the ability to track patients' medical records and automatically inform them of necessary tests or treatment schedules. Natural language processing (NLP) technology is used to understand the patient's questions, provide appropriate answers, and deliver the medical staff's instructions to the patient accurately. In addition, it also includes the ability to provide information related to the patient's health status and, if necessary, health advice. This system effectively solves hospital reservations and care-related problems and contributes greatly to improving the efficiency, convenience, and quality of health care services. This will increase patient satisfaction and provide a new way to provide medical services.",9
AI IMPLEMENTED AI TERMINATION,AI,2025,BANK OF AMERICA,"Apparatus and methods for an artificial intelligence implemented termination by an auditor artificial intelligence (“aAI”) of a malicious artificial intelligence (“mAI”) are provided. The aAI may detect a mAI on a network and determine which data the mAI can access on the network. The aAI may then degrade all or part of the data in various ways to prevent the mAI from producing valid content based on the data. The aAI may also create code and inject the code into the mAI to degrade the mAI's operations. As the mAI may rely on valid data to produce valid output, degrading the data may degrade the mAI.",4
AI AI Caregiver AI matching device and Caregiver AI matching method,AI,2023,MEDICUS HOLDINGS CO LTD,"A caregiver AI matching device of the present invention may comprise: a patient terminal that a patient or a guardian of the patient connects to a server through an application; a caregiver terminal that a caregiver connects to a server through the application; and a cloud server which exchanges data with the patient terminal or caregiver terminal. The cloud server may store a patient DB related to the patient and a caregiver DB related to the caregiver, and may be provided with an AI matching unit which learns AI matching with high consistency based on the patient DB or caregiver DB and calculates a second match from a first match stored in the cloud server. The caregiver AI matching method of the present invention comprises: a matching step in which the caregiver terminal or the patient terminal transmits the patient DB or the caregiver DB, the patient terminal requests a caregiver, and AI matching by the AI matching unit is transmitted to the patient terminal or the caregiver terminal; a decision step in which after the transmission of AI matching, the patient terminal transmits a caregiver decision to the cloud server; and a caring step of achieving a care deal and proceeding a care after the caregiver decision. Additionally, a decision step in which a matching decision unit provides feedback regarding AI matching may be further included.",3
AI AI recipe application,AI,2022,NOH JUN SU,"The present invention relates to an AI recipe application. The AI recipe application, according to the present invention, comprises: a receipt scanner; an ingredient timer; and a recipe recommendation AI. Therefore, the present invention allows newly purchased food ingredients to be automatically recorded by scanning receipts without having to type and record the food ingredients one by one.",2
AI Speaking-AI kiosk,AI,2024,KIM YEONG KI,The present invention is to solve a problem that middle-aged and elderly people spend a lot of time ordering and cannot order due to the UI and ordering method of the kiosk that are difficult to understand. The talking AI kiosk includes: an AI (4) formed with a software inside a monitor so that the AI can perform a role of identifying the customer's needs and recommending products or goods instead of people; a deep learning (5) formed with data inside the PC and server so that the deep learning can check the information of an existing order history and identify the case of the same order; an iris recognition technology (6) formed with a software technology located inside the PC so that the iris recognition technology can recognize the customer's iris and confirm the customer's existing order information or whether he or she is a new customer; and a camera (7) formed with a camera located at the top of the monitor so that the camera can recognize and identify the customer's iris.,8
AI .,AI,2025,UBN CORP,"본 출원 발명은 작물의 생장 단계별로 필요로 하는 성분에 차이가 있음을 착안하여 작물의 생장단계별로 차이가 있는 양액성분을 공급하고자 하는 것이며, 상기 양액을 살균하여 재사용함으로써 환경오염을 최소화하고자 하는 기술을 제공하고자 하는 것이다. 이를 위하여 딸기재배상; 및 상기 딸기 재배상에 양액을 공급하는 공급양액탱크; 및 상기 딸기 재배상에 공급된 양액이 상기 딸기 재배상을 통과하여 배출되며, 배출되는 양액을 저장하는 배출양액저장탱크; 및 상기 배출양액저장탱크에 저장된 양액을 상기 양액공급기로 공급하기 위하여 여과하고 살균하는 여과살균기; 및 상기 여과살균기을 거친 양액의 탁도를 측정하여 탁도가 설정치보다 높으면 폐배액통으로 배출하고, 그렇지 않으면 처리배액탱크로 이송하며, 처리배액탱크로 이송된 양액을 다시 사용하기 위하여 양액의 부족한 성분을 추가하기 전에 Na+, Cl- 이온을 측정하여 기준치를 초과하면 폐배액통으로 배출하고, 그렇지 않으면 순환사용을 위하여 공급양액탱크로 이송하고, 상기 공급양액탱크와 연결되어 양액의 비료성분을 공급하는 양액공급기; 및 상기 양액공급기는 다량원소공급기 및 미량원소 공급기를 구비하고, 상기 딸기재배상에서 재배 중인 딸기의 생육단계와 순환 사용하는 양액의 부족한 성분을 고려하여 필요성분의 종류와 양을 계산하여 다량원소공급기 및 미량원소 공급기를 양액공급기제어부에서 제어하는 AI기반 딸기 생육단계 인식을 통한 순환식 단비 양액기 클라우드 제어 시스템을 제공한다. 상기와 같은 발명의 구성에 의하여 수경재배 농가들의 양액을 재사용할 수 있는 정밀한 양액제어 공급장치를 공급함으로써 작물재배에 사용하는 양액비용을 절감하고, 양액을 재사용함으로써 양액에 의한 환경오염을 방지하고 자원 재순환을 통한 에너지 절감 효과가 있는 기술을 제공한다.",3
AI AI VIRTUAL AI MODEL CREATION AND AI VOICE MATCHING SYSTEM,AI,2023,YOU JI SU,A virtual AI model creation and AI voice matching system is efficiently provided. The virtual AI model creation and AI voice matching system comprises: a user basic information input part that inputs information of a user and sets an initial response character according to a call word recognition; a call word setting part that sets a voice command call word; a voice command analysis part that analyzes a voice command uttered by the user and identifies the emotion of the user through sound analysis; and an image processing part that recognizes a face image of the user taken through a camera and identifies the situation and emotion of the user through gesture recognition. The device according to one embodiment may be combined with hardware and controlled by a computer program stored in a medium to execute any one of the above-described methods.,3
AI AI smart detector,AI,2022,KUMOH NAT INST TECHNOLOGY IND ACAD COOP FOUND,"The present invention relates to an AI smart detector and, more particularly, to an AI smart detector for automatically adjusting the direction of a smartphone so that shooting can be performed according to the movement of a speaker during one-person media shooting or video conference using a smartphone. In addition, the AI smart detector includes: a holding part for holding a smartphone; an adjustment part for adjusting the direction of the holding part; and a control part for controlling the adjustment part based on a signal received through the smartphone according to the movement of the object of an image captured through the smartphone.",5
